profile_id,persona,budget,duration,interests,best_season
1,Solo Adventure Seeker,$800-1200,10,"Trekking, Hiking, Adventure Sports",Oct-Mar
2,Family Holiday Planner,$1500-2500,7,"Family sites, Culture, Entertainment",May-Sep
3,Couple Romantic,$1200-1800,5,"Romantic hotels, Scenic views, Dining",Oct-Mar
4,Budget Backpacker,$500-800,14,"Hostels, Local culture, Street food",Jun-Sep
5,Luxury Traveler,$3000+,10,"5-star hotels, Fine dining, Spa",Oct-Mar
6,History Buff,$1200-1800,8,"Monuments, Museums, Heritage sites",Oct-Mar
7,Spiritual Pilgrim,$800-1200,5,"Temples, Ashrams, Yoga, Meditation",Oct-Mar
8,Wildlife Lover,$1500-2000,10,"Safari, National Parks, Bird watching",Nov-Feb
9,Beach Lover,$1200-1800,7,"Water sports, Resorts, Nightlife",Mar-May
10,Cultural Explorer,$1200-1800,10,"Local interaction, Cooking classes, Crafts",Oct-Mar
11,Business Traveler,$1500-2500,3,"Conferences, Hotels, Connectivity",Jan-Mar
12,Festival Seeker,$800-1500,5,"Local festivals, Celebrations, Photography",Oct-Dec
13,Student Traveler,$400-700,10,"Education, Budget stays, Group tours",Jun-Aug
14,Senior Citizen,$1500-2000,7,"Comfort, Health resorts, Guided tours",Oct-Mar
15,Foodie Adventurer,$1300-1900,6,"Food tours, Cooking classes, Local cuisine",Oct-Mar
16,Solo Adventure Seeker Variant 2,$800-1200,10,"Trekking, Hiking, Adventure Sports",Oct-Mar
17,Family Holiday Planner Variant 2,$1500-2500,7,"Family sites, Culture, Entertainment",May-Sep
18,Couple Romantic Variant 2,$1200-1800,5,"Romantic hotels, Scenic views, Dining",Oct-Mar
19,Budget Backpacker Variant 2,$500-800,14,"Hostels, Local culture, Street food",Jun-Sep
20,Luxury Traveler Variant 2,$3000+,10,"5-star hotels, Fine dining, Spa",Oct-Mar
21,History Buff Variant 2,$1200-1800,8,"Monuments, Museums, Heritage sites",Oct-Mar
22,Spiritual Pilgrim Variant 2,$800-1200,5,"Temples, Ashrams, Yoga, Meditation",Oct-Mar
23,Wildlife Lover Variant 2,$1500-2000,10,"Safari, National Parks, Bird watching",Nov-Feb
24,Beach Lover Variant 2,$1200-1800,7,"Water sports, Resorts, Nightlife",Mar-May
25,Cultural Explorer Variant 2,$1200-1800,10,"Local interaction, Cooking classes, Crafts",Oct-Mar
26,Business Traveler Variant 2,$1500-2500,3,"Conferences, Hotels, Connectivity",Jan-Mar
27,Festival Seeker Variant 2,$800-1500,5,"Local festivals, Celebrations, Photography",Oct-Dec
28,Student Traveler Variant 2,$400-700,10,"Education, Budget stays, Group tours",Jun-Aug
29,Senior Citizen Variant 2,$1500-2000,7,"Comfort, Health resorts, Guided tours",Oct-Mar
30,Foodie Adventurer Variant 2,$1300-1900,6,"Food tours, Cooking classes, Local cuisine",Oct-Mar
31,Solo Adventure Seeker Variant 3,$800-1200,10,"Trekking, Hiking, Adventure Sports",Oct-Mar
32,Family Holiday Planner Variant 3,$1500-2500,7,"Family sites, Culture, Entertainment",May-Sep
33,Couple Romantic Variant 3,$1200-1800,5,"Romantic hotels, Scenic views, Dining",Oct-Mar
34,Budget Backpacker Variant 3,$500-800,14,"Hostels, Local culture, Street food",Jun-Sep
35,Luxury Traveler Variant 3,$3000+,10,"5-star hotels, Fine dining, Spa",Oct-Mar
36,History Buff Variant 3,$1200-1800,8,"Monuments, Museums, Heritage sites",Oct-Mar
37,Spiritual Pilgrim Variant 3,$800-1200,5,"Temples, Ashrams, Yoga, Meditation",Oct-Mar
